Epoch,Train Loss,Val Loss,Train MAE,Val MAE,Max Grad Norm,Learning Rate,Best
1,0.0010692599041214406,8.461475574775882e-06,101.44144467213114,63.71894409937888,0.09874832630157471,4.9562952014676115e-06,Yes
2,6.989036976802545e-06,7.0116037259931146e-06,81.68662909836065,63.71894409937888,9.776798106031492e-05,4.827090915285202e-06,Yes
3,7.090928246740435e-06,7.00063176268006e-06,81.6692281420765,63.71894409937888,2.4926157493609935e-06,4.618033988749896e-06,Yes
4,8.361483287941562e-06,6.992591151632137e-06,83.81999658469945,63.71894409937888,1.910330638565938e-06,4.338261212717717e-06,Yes
5,7.125922056332312e-06,6.986755200933595e-06,82.88105362021858,63.71894409937888,1.4840679796179757e-06,4.000000000000001e-06,Yes
6,6.736257200032635e-06,6.9825158032201095e-06,81.44914617486339,63.71894409937888,1.1742696415240061e-06,3.618033988749895e-06,Yes
7,7.230014402846821e-06,6.9794723740923476e-06,82.90041837431694,63.71894409937888,9.727605174703058e-07,3.209056926535307e-06,Yes
8,6.779024245146194e-06,6.9773298983248125e-06,82.08104508196722,63.71894409937888,8.045888080232544e-07,2.790943073464694e-06,Yes
9,7.4124381027586475e-06,6.975960391371147e-06,82.94480020491804,63.71894409937888,6.915374228810833e-07,2.3819660112501054e-06,Yes
10,7.044476624883589e-06,6.9750182226485345e-06,82.39754098360656,63.71894409937888,6.209985485838843e-07,2.0000000000000003e-06,Yes
11,6.222142710711787e-06,6.974329853789037e-06,80.94535519125684,63.71894409937888,5.832591227772355e-07,1.6617387872822842e-06,Yes
