Epoch,Train Loss,Val Loss,Train MAE,Val MAE,Best
1,0.0026258821599185467,5.4138294217409566e-05,1207.2686767578125,83.87340545654297,Yes
2,6.034171019564383e-05,2.1127947547938675e-05,40.89951705932617,59.65928649902344,Yes
3,3.193327211192809e-05,1.0236180969513953e-05,30.977405548095703,38.336700439453125,Yes
4,1.932394843606744e-05,7.327027560677379e-06,25.072120666503906,36.66810989379883,Yes
5,1.7812950318329968e-05,6.392910108843353e-06,21.647804260253906,27.61064338684082,Yes
6,2.1688594642910175e-05,6.170452252263203e-06,22.434131622314453,30.55521011352539,No
7,1.8753551557892933e-05,5.8537066252029035e-06,16.67732810974121,23.25575828552246,Yes
8,2.0555793526000343e-05,5.743956080550561e-06,15.50871467590332,21.890586853027344,Yes
9,2.1667332475772128e-05,5.723647518607322e-06,16.514131546020508,22.95230484008789,No
10,2.001547909458168e-05,5.6934536587505136e-06,15.986403465270996,21.33199119567871,Yes
11,1.655407322687097e-05,5.468167728395201e-06,21.262256622314453,30.5074520111084,No
12,1.9552395315258764e-05,5.141109795658849e-06,18.163463592529297,21.981618881225586,No
13,1.728106326481793e-05,4.9785285227699205e-06,20.2844181060791,19.549270629882812,Yes
14,1.9443155906628817e-05,4.84087240693043e-06,20.040630340576172,17.202491760253906,Yes
15,1.8467915651854128e-05,4.938749952998478e-06,18.788938522338867,26.206769943237305,No
16,1.905506542243529e-05,4.872973022429505e-06,19.582576751708984,26.086135864257812,No
17,1.9444190911599435e-05,4.7255448407668155e-06,13.442952156066895,20.39872932434082,No
18,1.6357687854906544e-05,4.637792699213605e-06,15.728039741516113,16.358932495117188,Yes
19,1.931789483933244e-05,4.65210223410395e-06,17.005704879760742,20.55152130126953,No
20,1.682331094343681e-05,4.552730388240889e-06,14.896241188049316,13.882680892944336,Yes
21,1.8326401914237067e-05,4.5610545384988654e-06,18.192808151245117,15.922975540161133,No
1,0.0020424609538167715,2.1872718207305297e-05,622.8944091796875,57.41190719604492,Yes
1,0.002691531553864479,0.00011174349492648616,1287.296630859375,126.39320373535156,Yes
2,7.378430018434301e-05,2.495397893653717e-05,54.503990173339844,48.26947784423828,Yes
